"You have no items in your shopping cart.","You have no items in your shopping basket."
"'You have no items in your shopping cart.'","'You have no items in your shopping basket.'"
"Shopping Cart","Shopping Basket"
"Add to Cart","Add to basket"
"View and Edit Cart","View/Edit Cart"
"Proceed to Checkout","Checkout"
"Cart Subtotal","Subtotal"
"Product has been added to your cart","Product has been added to your basket"
"You added %1 to your shopping cart.","You added %1 to your shopping basket."
"We can\'t add this item to your shopping cart right now.","We can\'t add this item to your shopping basket right now."
"My Cart (1 item)","My Basket (1 item)"
"My Cart (%1 items)","My Basket (%1 items)"
"My Cart","My Basket"
"We can't update the shopping cart.","We can't update the shopping basket."
"%1 was updated in your shopping cart.","%1 was updated in your shopping basket."
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty basket"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty basket"
"Shopping Cart Items","Shopping Cart Items"
"Clear Shopping Cart","Clear Shopping Cart"
"Update Shopping Cart","Update Shopping Cart"
"Update Cart","Update Basket"
"Edit Your Cart","Edit Your Basket"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping basket?"
"You have %1 item(s) in your cart","You have %1 item(s) in your basket"
"Guest checkout is disabled.","Please login or register to proceed to checkout."
"We can't find products matching the selection.","We are organising our products and adding more products. Kindly drop us a message if there's anything specific you were looking for that you couldn't find."
"Zip/Postal Code","Post Code"